companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado;dy;lucros_Cagr5
342;BANCO PINE;PINE4;1,88;8,5699;0,4034;14,3699;0,0214;6,8246;12,88;1,68;2,81;0,2409;-0,14;-0,0296;0,09;4,71;0,25;;;;0,05;0,95;0,64;0,14746089;8,18;318079,67;4,6609;0,2194;166465976,16;3,2739;
342;BANCO PINE;PINE3;0,0;0,0;0,0;0,0;0,0;6,8246;12,88;1,68;2,81;0,0;0,0;0,0;0,09;4,71;0,25;;;;0,05;0,95;0,64;0,0;8,18;;4,6609;0,2194;166465976,16;;
168;HAGA S/A;HAGA3;2,7;8,9815;-0,5092;9,4622;0,5448;2,7709;19,89;11,89;12,53;1,1253;1,542;-3,2478;0,48;-5,67;6,07;-6,27;;-2,91;-1,07;2,07;1,74;-0,13955435;9,48;29075,37;-5,3019;0,3006;19278000,54;;1,81
168;HAGA S/A;HAGA4;1,08;3,5926;-0,2037;3,7849;0,2179;2,7709;19,89;11,89;12,53;0,4501;0,6168;-1,2991;0,48;-5,67;6,07;-6,27;;-2,91;-1,07;2,07;1,74;-0,05582174;9,48;15669,37;-5,3019;0,3006;19278000,54;;1,81
273;HERCULES;HETA3;96,0;-40,868;-0,0879;17,0473;4,3563;119,2316;100,0;92,5;-38,58;15,7681;-0,5754;-4,9459;0,28;-0,22;-10,66;-1,24;;113,02;-49,56;50,56;0,02;0,41150125;-0,71;19200,0;-1092,2551;-2,349;17851196,18;;
273;HERCULES;HETA4;4,18;-1,7795;-0,0038;0,7423;0,1897;119,2316;100,0;92,5;-38,58;0,6866;-0,0251;-0,2154;0,28;-0,22;-10,66;-1,24;;113,02;-49,56;50,56;0,02;0,01791745;-0,71;805,0;-1092,2551;-2,349;17851196,18;;
178;METISA;MTSA3;75,0;8,0134;1,77;5,7632;1,1571;4,0833;29,55;14,76;10,62;0,8508;2,4079;-6,1159;1,36;22,09;14,44;17,77;-0,13;-0,42;0,65;0,35;2,46;0,14035752;21,69;11250,0;42,3739;9,3593;515047950,0;3,2;43,68
178;METISA;MTSA4;43,5;4,6478;1,0266;3,3426;0,6711;4,0833;29,55;14,76;10,62;0,4934;1,3966;-3,5472;1,36;22,09;14,44;17,77;-0,13;-0,42;0,65;0,35;2,46;0,08140736;21,69;75531,86;42,3739;9,3593;515047950,0;6,069;43,68
385;FERTILIZANTES HERINGER;FHER3;17,44;2,6718;2,125;2,1539;0,307;2,5946;11,31;7,54;6,08;0,1623;1,1149;-1,2638;1,89;79,53;11,49;52,74;0,43;0,44;0,14;0,86;1,57;0,11320201;-3,75;1673948,44;8,2072;6,5274;939271032,96;;52,1
678;JALLES MACHADO S.A.;JALL3;7,0;10,7389;1,3673;-47,2671;0,4385;-73,2805;-2,22;-2,62;11,54;1,2388;1,5417;-0,7961;0,35;12,73;4,08;-3,4;0,75;-26,01;0,32;0,68;2,73;-0,80539204;;4262359,22;5,1197;0,6518;2062879637,0;2,5415;
792;UNIFIQUE TELECOMUNICAÇÕES S.A.;FIQE3;3,59;10,7652;1,3068;8,1245;0,6843;6,636;47,09;25,34;19,13;2,059;3,3215;-1,1461;0,33;12,14;6,36;8,63;-0,24;-1,49;0,52;0,48;2,05;0,15665539;;611490,63;2,7472;0,3335;1299758096,31;2,347;
771;INFRACOMMERCE CXAAS S.A.;IFCM3;2,64;-4,4281;0,6366;-14,0135;0,2896;-18,7257;43,23;-8,66;-27,41;1,2139;6,3147;-0,4434;0,24;-14,38;-6,54;-3,41;0,21;-4,71;0,45;0,55;1,15;-0,00209083;;1956343,93;4,1468;-0,5962;964998497,76;;
