TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CBOP11;56,25;0,490000;15,16;75,66;0,74;36.161,23;4,56;15,33;-14,18;107.059.741,15;3.764,00;Passiva;1.415.000,00
HDOF11;0,00;;0,00;98,55;;;2,92;;;169.382.991,68;108,00;Ativa;1.718.674,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VTVI11;0,00;;0,00;35,81;;;0,98;;;63.775.368,93;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;12,43;;;38,76;;;1.287.009,58;2,00;Ativa;103.500,00
VVPR11;101,50;0,892340;9,22;98,03;1,04;1.249.061,55;1,27;;;226.032.234,18;1.372,00;Ativa;2.305.771,00
VXXV11;933,00;10,760000;0,00;886,39;1,05;9.811.955,80;0,09;;;234.185.441,29;16,00;Ativa;264.200,00
EQIR11;9,82;0,110000;112,23;9,92;0,99;26.132,76;7,90;;;49.856.714,60;239,00;Ativa;5.025.000,00
FEXC11;86,48;0,900000;13,92;91,87;0,94;832.501,54;3,15;11,92;-8,52;560.710.751,65;23.033,00;Ativa;6.103.509,00
FIGS11;54,09;0,370000;8,04;99,61;0,54;220.297,51;4,33;5,14;-7,28;283.879.060,09;15.897,00;Passiva;2.850.000,00
FIVN11;3,94;;0,00;6,96;0,55;45.161,21;0,03;;4,96;65.491.905,42;3.854,00;Passiva;9.412.630,00
FLCR11;93,86;0,750000;17,62;99,15;0,95;105.496,00;9,37;;;62.818.707,63;3.024,00;Ativa;633.604,00
FLMA11;128,95;0,910000;7,13;157,16;0,82;94.437,05;1,85;14,64;-21,06;216.984.074,08;17.806,00;Ativa;1.380.670,00
FLRP11;1.596,00;9,830082;7,04;1.728,57;0,92;222.274,81;1,91;5,69;3,97;112.758.044,56;841,00;Passiva;65.232,00
