TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CGRA3;35,70;7,98;4,06;0,86;0,58;54,01;24,60;24,94;4,12;3,56;-0,51;-0,11;1,01;2,24;-1,15;2,14;21,30;14,40;14,97;0,68;0,32;0,58;9,46;21,58;73.060,97;41,28;8,79;0,12;682.790.584,70
CGRA4;34,93;8,15;3,97;0,85;0,57;54,01;24,60;24,94;4,03;3,56;-0,51;-0,11;0,99;2,20;-1,12;2,14;21,30;14,40;14,97;0,68;0,32;0,58;9,46;21,58;331.044,12;41,28;8,79;0,12;682.790.584,70
CIEL3;5,32;4,18;11,94;1,37;0,14;33,93;18,87;10,57;6,69;8,08;1,38;0,28;1,26;1,11;-1,06;1,17;11,45;1,15;8,48;0,10;0,87;0,11;-1,02;-21,29;148.055.253,71;3,89;0,45;0,25;14.480.624.275,13
CLSA3;5,17;;-7,23;1,32;1,04;28,42;-40,41;-28,24;-5,05;-2,56;2,47;-0,65;2,04;1,72;-4,44;4,85;-18,29;-14,43;-24,61;0,79;0,21;0,51;;;4.379.521,74;3,91;-0,72;0,01;967.819.209,00
CLSC3;50,00;10,78;4,53;0,67;0,16;12,89;7,31;4,77;2,96;5,15;1,98;0,45;0,22;3,42;-0,24;1,19;14,68;3,64;9,24;0,25;0,75;0,76;13,22;;158.382,94;75,16;11,04;-0,15;2.070.604.932,50
CLSC4;56,39;10,52;5,11;0,75;0,19;12,89;7,31;4,77;3,33;5,15;1,98;0,45;0,24;3,85;-0,27;1,19;14,68;3,64;9,24;0,25;0,75;0,76;13,22;;300.923,82;75,16;11,04;-0,17;2.070.604.932,50
CMIG3;17,54;8,36;13,37;1,90;0,73;16,67;13,32;8,20;8,23;8,02;1,61;0,37;1,10;14,00;-0,98;1,25;14,18;5,43;14,19;0,38;0,62;0,66;12,38;53,92;4.819.072,44;9,25;1,31;-0,42;30.097.291.143,84
CMIG4;11,76;12,47;8,96;1,27;0,49;16,67;13,32;8,20;5,51;8,02;1,61;0,37;0,73;9,39;-0,66;1,25;14,18;5,43;14,19;0,38;0,62;0,66;12,38;53,92;99.618.399,71;9,25;1,31;-0,28;30.097.291.143,84
CMIN3;3,53;15,46;6,30;1,52;0,80;42,08;35,19;25,02;4,48;4,25;-0,22;-0,07;1,58;3,38;-1,33;2,50;24,11;12,73;16,34;0,53;0,47;0,51;;;31.238.225,68;2,32;0,56;-0,11;19.308.392.709,76
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,23;0,23;-0,93;;0,00;0,00;50,48;-397,91;-390,74;-408,64;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
