TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
APTI4;3.500,00;;-2,58;0,31;0,14;93,87;-96,49;-60,81;-1,63;-0,81;0,30;-0,06;1,57;0,47;-0,21;4,83;-12,15;-5,27;-22,85;0,43;0,57;0,09;4,07;;;11.153,64;-1.355,47;-0,03;44.442.750,00
ARML3;12,00;3,68;27,94;3,58;1,11;47,03;33,66;15,61;12,96;16,71;3,75;1,04;4,36;4,63;-1,70;3,28;12,83;3,98;9,12;0,31;0,69;0,26;;;5.135.236,14;3,35;0,43;0,18;4.152.192.492,00
ARZZ3;66,00;2,78;17,12;2,74;1,56;53,94;12,99;10,03;13,22;13,10;-0,14;-0,03;1,72;9,72;-3,20;1,46;16,00;9,12;16,35;0,57;0,43;0,91;25,49;22,42;133.823.901,77;24,09;3,85;0,74;7.282.197.828,93
ASAI3;12,96;1,25;14,34;4,49;0,43;16,44;5,23;2,24;6,14;8,53;2,37;1,73;0,32;-7,82;-0,66;0,86;31,31;3,00;16,59;0,10;0,90;1,34;;;306.631.095,54;2,89;0,90;-0,59;17.553.334.448,00
ATMP3;1,00;;0,06;-0,09;0,02;-11,09;-47,73;67,74;-0,08;-1,00;-0,92;;0,04;-0,03;-0,02;0,32;-151,78;26,67;-340,04;-0,18;1,18;0,39;-16,95;;48.403,35;-11,23;17,04;0,00;26.710.356,00
ATOM3;2,94;2,35;6,98;2,98;2,00;97,47;26,26;27,93;7,43;4,92;-2,51;-1,01;1,95;2,25;-99,41;10,55;42,73;28,61;37,08;0,67;0,33;1,02;;19,78;63.489,63;0,99;0,42;0,11;69.986.400,12
AURA33;38,90;3,75;8,00;1,70;0,73;32,01;22,45;16,94;6,04;7,04;0,98;0,28;1,36;6,10;-1,10;1,54;21,24;9,06;11,82;0,43;0,57;0,53;32,13;79,00;2.950.253,43;22,87;4,86;0,53;2.758.955.940,00
AURE3;15,45;0,65;5,78;1,01;0,48;20,72;25,22;48,49;11,11;13,00;1,90;0,17;2,80;7,47;-0,59;1,49;17,53;8,28;4,81;0,47;0,53;0,17;;;54.581.747,03;15,25;2,67;0,00;15.440.000.000,00
AVLL3;3,17;;-0,17;-0,18;0,04;13,38;-69,23;-155,01;-0,39;-5,05;-4,67;;0,27;-0,13;-0,07;0,55;-104,72;-23,53;-30,24;-0,22;1,22;0,15;19,61;;57.368,85;-17,51;-18,33;-0,02;71.058.066,98
AZEV3;1,35;;-1,30;1,07;0,19;2,68;-33,17;-20,80;-0,82;-1,21;-0,44;0,57;0,27;-2,13;-0,28;0,79;-82,45;-14,62;-121,70;0,18;0,82;0,70;43,23;;128.970,74;1,26;-1,04;0,01;98.888.546,28
AZEV4;1,24;;-1,20;0,99;0,18;2,68;-33,17;-20,80;-0,75;-1,21;-0,44;0,57;0,25;-1,96;-0,26;0,79;-82,45;-14,62;-121,70;0,18;0,82;0,70;43,23;;434.187,63;1,26;-1,04;0,01;98.888.546,28
AZUL4;10,80;;-18,91;-0,72;0,73;17,47;8,96;-4,53;9,55;18,38;15,77;;0,86;-1,34;-0,99;0,32;-3,80;-3,86;33,94;-1,02;2,02;0,85;15,41;;200.288.195,74;-15,03;-0,57;0,23;3.730.663.006,05
B3SA3;11,67;3,42;16,07;3,35;1,43;89,92;55,17;41,80;12,17;11,66;-0,50;-0,14;6,72;8,68;-2,23;1,84;20,84;8,88;12,39;0,43;0,57;0,21;22,44;26,66;607.675.832,57;3,49;0,73;-1,54;67.849.540.000,00
BAHI3;9,80;;-2,14;2,69;0,36;40,25;-13,45;-30,64;-4,88;-8,37;-3,50;1,93;0,66;-1,25;-0,39;0,19;-125,70;-16,86;-21,36;0,13;0,87;0,55;56,84;;72.212,72;3,64;-4,58;-0,01;234.197.695,20
BALM3;9,90;3,61;16,92;0,72;0,39;58,30;11,05;3,49;5,34;4,40;-0,97;-0,13;0,59;0,92;-1,34;2,51;4,26;2,31;8,87;0,54;0,46;0,66;8,44;53,41;2.970,00;13,73;0,59;-0,26;97.706.000,00
BALM4;10,04;3,56;17,16;0,73;0,40;58,30;11,05;3,49;5,41;4,40;-0,97;-0,13;0,60;0,93;-1,35;2,51;4,26;2,31;8,87;0,54;0,46;0,66;8,44;53,41;6.289,89;13,73;0,59;-0,27;97.706.000,00
BAUH4;75,00;;-275,82;4,28;2,58;22,30;4,16;-0,74;49,00;48,56;-0,44;-0,04;2,04;35,33;-4,44;1,21;-1,55;-0,93;-1,36;0,60;0,40;1,26;3,33;;49.363,33;17,50;-0,27;2,29;391.666.650,00
BAZA3;71,17;9,65;3,55;0,82;0,12;33,15;61,79;35,05;2,02;2,02;;;1,25;4,48;-0,12;;23,18;3,24;;0,14;0,86;0,09;17,64;77,05;236.060,40;86,36;20,02;0,07;3.988.549.112,25
