TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CXRI11;73,00;0,560000;9,31;82,17;0,88;22.343,07;3,83;-10,30;-62,93;129.487.908,68;2.384,00;Ativa;1.575.760,00
CXTL11;334,00;1,830261;3,77;436,49;0,77;17.019,03;8,29;10,22;-0,59;23.394.408,51;644,00;Passiva;53.597,00
CYCR11;8,70;0,105000;14,05;9,71;0,90;312.533,10;13,13;;;158.403.479,91;8.478,00;Ativa;16.315.840,00
CYLD11;0,00;;0,00;100,69;;;7,22;;;62.602.070,71;46,00;Ativa;621.750,00
DAMT11B;18,39;0,079165;3,66;13,10;1,40;1.763,31;1,02;;;95.698.945,08;583,00;Passiva;7.305.341,00
DEVA11;62,79;0,650000;17,37;93,36;0,67;3.130.394,80;4,56;;;1.311.235.571,35;133.535,00;Ativa;14.044.908,00
DLMT11;0,00;0,008112;0,00;0,66;;;2,61;;;8.781.208,97;9,00;Ativa;13.225.796,00
DMAC11;13,00;4,894618;0,00;4,99;2,61;;105,14;;-68,48;778.257,90;2.352,00;Passiva;156.108,00
DOMC11;439,00;;0,00;100,20;4,38;;0,58;;-4,24;244.857.914,30;1.185,00;Ativa;2.443.800,00
DOVL11B;1.205,56;9,476210;6,70;1.205,57;1,00;4.419,67;3,65;2,44;;80.057.031,91;51,00;Ativa;66.406,00
DPRO11;96,47;0,800000;10,57;96,76;1,00;26.659,17;1,85;;;35.948.477,34;141,00;Ativa;371.522,00
DRIT11B;92,88;0,590000;8,69;132,98;0,66;1.488,92;1,00;22,17;-10,79;61.607.921,44;355,00;Ativa;463.277,00
DVFF11;76,99;0,800000;11,59;91,89;0,84;193.730,07;6,44;;;101.166.724,19;679,00;Ativa;1.100.950,00
EDFO11B;190,00;1,662319;10,80;178,81;1,06;11.481,67;1,76;5,58;-8,80;42.198.848,48;535,00;Passiva;236.000,00
EDGA11;19,03;0,148657;7,98;61,25;0,31;32.235,70;1,14;-3,81;-19,09;233.502.395,40;5.752,00;Passiva;3.812.055,00
EGYR11;0,95;;0,00;12,37;0,08;6.227,23;0,00;;;93.266.154,20;25,00;Passiva;7.537.298,00
ELDO11B;762,38;0,530000;13,87;1.439,28;0,53;;0,30;-0,63;;1.133.085.303,28;60,00;Passiva;787.256,00
EQIR11;8,80;0,110000;60,86;9,91;0,89;49.885,60;8,58;;;49.818.878,21;3.444,00;Ativa;5.025.000,00
ERCR11;76.000,00;139,449698;3,75;61.154,81;1,24;;0,21;;;145.303.826,37;10,00;Passiva;2.376,00
ERPA11;118,00;0,711117;7,04;137,15;0,82;104.837,75;1,04;;;68.703.236,53;338,00;Passiva;500.922,00
ESTQ11;0,00;;0,00;0,06;;;38,96;;;4.092.289,40;5,00;Ativa;65.361.974,00
EURO11;238,00;1,700000;9,19;325,03;0,74;41.216,97;1,54;14,58;8,91;124.790.914,73;2.486,00;Passiva;383.936,00
EVBI11;98,00;0,750000;9,18;99,05;0,99;20.627,63;11,94;;;188.773.637,89;1.063,00;Ativa;1.905.933,00
EXES11;88,00;0,600000;8,52;98,28;0,90;1.892.575,00;7,06;;;26.020.845,86;61,00;Ativa;264.769,00
FAED11;149,40;1,480000;12,57;217,59;0,69;104.435,60;1,72;7,83;-11,52;139.732.152,41;4.755,00;Passiva;642.168,00
FAGL11;0,00;;0,00;;;;;;;;;;3.000.000,00
FAMB11B;792,00;9,160000;0,00;2.967,71;0,27;37.168,96;1,37;-9,82;-38,60;311.015.602,65;2.700,00;Passiva;104.800,00
FARU11;0,00;;0,00;;;;;;;;;;8.000.000,00
FATN11;96,00;0,830000;10,61;99,31;0,97;71.332,60;2,29;;;125.988.414,06;1.270,00;Ativa;1.268.696,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
FCFL11;107,50;0,800000;9,11;116,20;0,92;245.318,93;0,63;12,67;0,63;403.679.824,36;3.681,00;Ativa;3.474.010,00
FGPM11;0,00;;0,00;;;;;;;;;;0,00
FIGS11;55,38;0,420000;8,55;76,33;0,72;130.036,73;2,11;31,22;-5,82;217.526.354,81;15.167,00;Passiva;2.850.000,00
FIIB11;479,98;3,250000;8,73;460,89;1,04;206.134,50;1,02;9,53;-1,05;315.709.983,17;16.901,00;Passiva;685.000,00
FIIP11B;153,22;1,350000;10,55;186,67;0,82;88.421,77;1,34;-8,76;-7,76;173.072.424,53;7.843,00;Passiva;927.162,00
FINF11;0,00;0,266907;0,00;41,37;;;2,40;1,41;;33.930.888,80;4,00;Ativa;820.112,00
FISC11;165,00;0,390000;1,82;115,22;1,43;;1,03;;;195.872.886,56;66,00;Ativa;1.699.996,00
FISD11;0,00;6,526269;0,00;66,87;;;10,60;;;71.728.266,79;24,00;Ativa;1.072.588,00
FIVN11;3,80;;0,00;7,68;0,50;65.676,33;0,02;;-11,66;72.278.389,33;3.912,00;Passiva;9.412.630,00
FLCR11;92,71;1,300000;14,42;98,37;0,95;119.721,97;12,79;;;62.327.865,84;2.642,00;Ativa;633.604,00
FLMA11;130,92;0,940000;8,17;160,57;0,82;83.959,67;1,28;29,55;-6,53;221.695.373,96;16.325,00;Ativa;1.380.670,00
FLRP11;1.793,99;13,500000;8,52;1.829,42;0,96;13.153,14;2,50;22,50;8,50;119.336.599,61;789,00;Passiva;65.232,00
FMOF11;51,90;0,310000;0,87;118,69;0,44;26.788,00;1,31;18,01;-18,46;60.293.686,38;284,00;Passiva;508.008,00
FOFT11;123,00;1,900000;0,00;110,21;1,12;;5,10;-47,71;;131.819.480,59;3.846,00;Ativa;1.196.040,00
FPAB11;164,99;1,900000;11,09;375,98;0,44;4.764,89;7,01;-1,55;-20,55;281.986.221,01;973,00;Passiva;750.000,00
FPNG11;69,50;0,490000;12,20;170,74;0,41;208,00;1,56;13,05;;174.557.925,51;68,00;Ativa;1.022.344,00
FRHY11;0,00;1,030000;0,00;86,35;;;8,14;;;11.269.135,24;7,00;Ativa;130.500,00
FTCE11B;2.900,89;86,123246;4,27;2.900,89;1,00;14.753,00;4,24;;;2.811.560.871,64;57,00;Ativa;969.205,00
FVBI11;94,97;0,369573;0,00;0,00;;;;142,93;-13,26;0,00;0,00;Passiva;0,00
FVPQ11;100,00;0,680000;9,72;191,99;0,52;26.836,27;1,98;-8,37;-16,35;537.595.812,30;3.935,00;Passiva;2.800.149,00
GALG11;8,74;0,082000;11,18;9,18;0,95;799.476,47;0,27;;;527.575.473,06;49.427,00;Ativa;57.485.300,00
GAME11;8,75;0,100000;14,66;10,04;0,87;203.595,70;-9,38;;;217.820.700,81;21.347,00;Ativa;21.697.677,00
GCFF11;68,33;0,750000;12,06;77,31;0,88;88.079,17;26,95;;;26.175.371,69;1.854,00;Ativa;338.598,00
GCOI11;98,99;;0,00;98,80;1,00;25.142,80;12,33;;;11.164.592,48;360,00;Ativa;113.000,00
GCRI11;91,39;1,100000;15,45;95,17;0,96;265.513,70;1,79;;;113.331.733,48;3.768,00;Ativa;1.190.790,00
GESE11B;1.520,00;11,297902;10,72;1.773,37;0,86;;1,41;20,96;;92.215.261,79;56,00;Passiva;52.000,00
GGRC11;118,75;1,050000;9,90;125,00;0,95;1.275.567,17;3,03;11,72;-2,58;1.016.802.358,12;103.004,00;Ativa;8.134.118,00
GLOG11;66,49;0,600000;13,16;106,20;0,63;85.310,93;2,50;;;79.648.071,76;3.284,00;Ativa;750.000,00
GLPL11;0,00;;0,00;;;;;;;;;;0,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;-5,54;6.407.890,29;2.604,00;Passiva;1.073.530,00
GSFI11;5,90;;0,00;14,12;0,41;658.369,20;1,76;;34,83;1.062.100.112,79;6.834,00;Ativa;75.198.136,00
GTLG11;96,40;0,700000;8,71;91,33;1,06;4.902,52;4,23;;;655.132.499,01;177,00;Ativa;7.173.000,00
GTWR11;79,84;0,790000;11,46;94,99;0,84;819.039,43;1,15;3,91;-11,99;1.139.875.668,01;27.409,00;Ativa;12.000.000,00
GURB11;103,00;0,850000;2,18;109,71;0,94;40.000.050,00;4,87;;;124.537.735,97;19,00;Ativa;1.135.160,00
GVBI11;0,00;;0,00;;;;;;;;;;1.500.000,00
GZIT11;0,00;;0,00;84,67;;;4,24;;;1.792.860.248,96;1,00;Ativa;21.173.640,00
HAAA11;63,95;0,430000;9,60;88,43;0,72;1.831,93;0,83;;;305.534.582,24;247,00;Ativa;3.455.000,00
HABT11;92,24;1,300000;14,97;99,14;0,93;1.434.643,90;4,67;-4,26;-2,52;805.720.277,15;71.038,00;Ativa;8.126.783,00
HBCR11;112,45;0,537453;5,01;103,54;1,09;2.713.343,00;2,29;;;115.877.284,32;41,00;Ativa;1.119.161,00
HBRH11;97,49;0,549300;8,06;112,30;0,83;34.387,87;0,76;-2,04;-2,15;311.309.169,80;1.109,00;Ativa;2.772.204,00
HBTT11;1.055,00;16,580000;0,00;0,00;;;;;-5,50;0,00;0,00;Ativa;0,00
HCHG11;79,06;1,000000;14,61;98,82;0,81;18.038,07;4,84;;;118.581.606,12;690,00;Ativa;1.200.000,00
