TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GMRE;10,15;8,28;58,69;1,09;0,49;100,00;32,89;8,00;6,14;27,47;13,20;1,00;4,70;-1,03;-0,52;0,13;1,85;0,83;3,57;0,45;0,55;0,10;35,24;;;9,35;0,17;;665.126.455,00
GNL;10,54;15,18;-242,85;0,78;0,27;91,07;29,67;-1,20;3,96;31,50;21,69;1,74;2,91;;-0,27;;-0,32;-0,11;2,56;0,35;0,65;0,09;7,88;-12,59;;13,43;-0,04;;1.094.544.218,00
GOOD;13,21;10,05;63,58;2,80;0,45;82,04;28,65;5,54;5,10;29,11;16,82;3,82;3,52;;-0,45;;4,40;0,70;4,59;0,16;0,70;0,13;9,46;9,38;;4,72;0,21;;528.384.148,00
GOODM;25,01;;120,38;5,29;0,84;82,04;28,65;5,54;9,65;29,11;16,82;3,82;6,67;;-0,84;;4,40;0,70;4,59;0,16;0,70;0,13;9,46;9,38;;4,72;0,21;;528.384.148,00
GOODN;18,69;8,86;89,96;3,96;0,63;82,04;28,65;5,54;7,21;29,11;16,82;3,82;4,98;;-0,63;;4,40;0,70;4,59;0,16;0,70;0,13;9,46;9,38;;4,72;0,21;;528.384.148,00
GPMT;5,63;15,10;-3,66;0,31;0,08;;;;3,94;19,95;15,61;1,12;;;-0,08;;-8,51;-2,28;3,04;0,27;0,73;0,00;;;;18,08;-1,54;;290.091.380,00
GTY;31,18;5,45;18,08;1,85;0,96;87,22;73,76;50,43;8,92;17,56;5,20;0,78;9,12;;-0,96;;10,21;5,29;8,27;0,52;0,48;0,10;6,62;13,80;;16,90;1,72;;1.543.210.448,00
HASI;24,31;6,33;128,27;1,61;0,51;100,00;850,77;119,10;16,15;24,57;6,61;0,59;152,77;;-0,51;;1,25;0,39;2,86;0,31;0,69;0,00;48,75;6,11;;15,13;0,19;;2.599.025.858,00
HCFT;0,00;;;;;;;;;0,62;0,62;0,13;;;;;6,28;1,13;15,65;0,18;0,82;0,00;;;;2,19;0,14;;0,00
HHC;82,65;;26,68;1,17;0,43;39,19;21,32;9,71;7,39;23,59;11,44;1,11;2,59;;-0,43;;4,40;1,62;3,39;0,37;0,63;0,17;7,89;-2,60;;70,35;3,10;;4.131.508.200,00
HIW;24,33;8,22;16,89;1,04;0,43;68,04;31,83;18,11;4,54;21,50;11,89;1,29;3,06;;-0,43;;6,15;2,52;4,71;0,41;0,58;0,14;3,36;-3,01;;23,43;1,44;;2.565.788.274,00
HR;19,62;5,30;238,66;1,02;0,55;63,15;26,27;2,82;8,47;44,13;18,48;0,73;6,74;;-0,55;;0,43;0,23;2,28;0,54;0,46;0,08;16,75;50,13;;19,32;0,08;;7.471.627.578,00
HST;16,84;4,22;14,90;1,75;0,98;66,30;19,66;15,42;7,07;15,24;3,56;0,53;2,30;-28,25;-1,03;0,57;11,72;6,58;8,90;0,56;0,43;0,43;-1,85;2,34;;9,64;1,13;;11.977.295.072,00
HT;6,22;18,49;1,96;0,37;0,17;31,97;55,52;31,75;0,87;3,07;1,95;0,65;0,62;;-0,17;;19,09;8,77;16,75;0,46;0,54;0,28;-4,02;7,41;;16,65;3,18;;248.030.586,00
HTA;29,19;;70,91;2,08;0,98;68,73;24,81;12,13;14,06;50,82;16,16;0,97;8,60;;-0,98;;2,94;1,38;3,04;0,47;0,53;0,11;10,72;16,93;;14,02;0,41;;6.686.725.521,00
HTIA;17,69;;;;;36,91;-4,22;-20,67;;-74,49;-74,49;1,10;;;;;-7,25;-3,23;-0,69;0,45;0,55;0,16;1,54;;;;;;0,00
IIPR;77,73;9,26;13,70;1,11;0,90;95,08;63,24;55,25;8,94;12,99;1,02;0,10;7,57;;-0,90;;8,12;6,59;7,76;0,81;0,19;0,12;112,22;;;69,85;5,67;;2.179.160.550,00
ILPT;3,87;1,03;-0,76;0,34;0,04;86,10;22,40;-78,44;0,75;45,33;42,69;5,50;0,59;;-0,04;;-45,09;-5,93;1,90;0,13;0,87;0,08;19,92;;;11,35;-5,12;;253.740.420,00
INDT;66,99;1,04;10.674,44;1,76;1,16;77,84;2,40;0,12;34,87;672,60;117,19;0,37;13,33;;-1,16;;0,02;0,01;0,12;0,66;0,34;0,09;2,31;5,72;;38,01;0,01;;683.164.020,00
INN;5,78;3,11;117,07;0,66;0,21;75,81;12,06;0,74;2,56;23,34;16,15;1,47;0,87;-0,45;-0,22;0,14;0,56;0,18;3,37;0,31;0,67;0,24;5,57;-56,96;;8,80;0,05;;621.172.554,00
INVH;35,09;2,74;49,04;2,09;1,16;60,32;32,56;18,72;15,03;37,82;9,62;0,71;9,18;;-1,16;;4,27;2,36;4,19;0,55;0,45;0,13;16,24;;;16,75;0,72;;21.472.220.165,00
IRM;59,66;4,15;30,03;31,90;1,06;57,17;22,69;11,20;9,08;24,06;9,22;19,83;3,37;-42,89;-1,17;0,80;106,20;3,52;9,53;0,03;0,96;0,31;5,82;26,77;;1,87;1,99;;17.398.246.078,00
IRT;16,45;3,53;72,02;1,04;0,57;59,27;22,08;8,02;10,17;44,55;18,39;0,73;5,78;;-0,57;;1,44;0,79;2,28;0,55;0,45;0,10;31,28;31,16;;15,88;0,23;;3.694.490.695,00
IVR;11,36;18,49;-2,87;0,57;0,08;;;;-6,61;105,56;115,18;-6,79;;;-0,08;;-19,75;-2,89;-5,81;0,15;0,85;0,00;;;;20,03;-3,96;;473.112.192,00
JBGS;16,58;5,43;20,97;0,68;0,32;65,79;35,45;14,76;4,30;18,31;9,58;0,75;3,10;;-0,32;;3,25;1,51;4,15;0,46;0,46;0,10;2,21;;;24,30;0,79;;1.847.741.520,00
KIM;20,06;4,54;74,96;1,29;0,69;69,02;23,92;9,52;14,28;46,18;16,36;0,71;7,13;;-0,69;;1,72;0,92;1,96;0,54;0,46;0,10;7,55;-21,63;;15,57;0,27;;12.435.029.508,00
KRC;36,09;5,99;17,90;0,78;0,39;71,60;31,55;21,00;5,83;23,24;11,33;0,74;3,76;;-0,39;;4,35;2,15;3,57;0,50;0,50;0,10;8,82;7,16;;46,39;2,02;;4.226.896.890,00
KREF;12,19;14,11;-11,50;0,58;0,11;100,00;3.556,81;-838,28;2,70;15,37;12,66;2,70;96,38;;-0,11;;-5,02;-0,96;5,54;0,19;0,81;0,00;;-8,39;;21,13;-1,06;;842.268.050,00
KRG;24,00;3,92;550,67;1,42;0,73;73,78;14,02;1,17;9,53;71,67;25,57;0,79;6,46;;-0,73;;0,26;0,13;1,71;0,51;0,48;0,11;17,45;;;16,90;0,04;;5.263.821.600,00
LADR;10,77;8,54;9,39;0,89;0,23;59,09;341,19;128,83;3,23;12,44;8,90;2,24;12,10;;-0,23;;9,52;2,48;6,73;0,26;0,74;0,02;-6,50;8,65;;12,04;1,15;;1.367.235.345,00
LAMR;92,12;5,64;22,24;8,09;1,46;66,96;28,34;20,57;9,97;21,90;5,76;2,89;4,57;-29,20;-1,54;0,51;36,38;6,55;12,43;0,18;0,82;0,32;5,69;6,69;;11,39;4,14;;9.387.709.688,00
LAND;16,52;3,33;111,74;0,80;0,41;96,42;33,82;5,83;8,75;37,59;18,31;0,76;6,52;;-0,41;;0,72;0,37;2,29;0,52;0,48;0,06;28,85;;;20,58;0,15;;589.995.280,00
LANDO;19,95;7,52;134,94;0,97;0,50;96,42;33,82;5,83;10,56;37,59;18,31;0,76;7,87;;-0,50;;0,72;0,37;2,29;0,52;0,48;0,06;28,85;;;20,58;0,15;;589.995.280,00
LANDP;19,82;1,26;134,06;0,96;0,50;96,42;33,82;5,83;10,49;37,59;18,31;0,76;7,82;;-0,50;;0,72;0,37;2,29;0,52;0,48;0,06;28,85;;;20,58;0,15;;589.995.280,00
LFT;2,12;11,32;13,95;0,46;0,10;;;;1,94;1,05;-0,98;-0,22;;;-0,10;;3,30;0,70;18,91;0,21;0,79;0,00;;52,78;;4,61;0,15;;110.730.144,00
LOAN;4,88;12,30;10,94;1,31;0,78;100,00;55,97;55,97;10,70;16,07;5,13;0,61;6,12;1,16;-138,45;3,08;11,95;7,13;7,38;0,60;0,40;0,13;7,69;8,67;;3,73;0,45;;55.932.608,00
LSI;133,23;3,29;30,96;3,18;1,54;73,35;44,92;33,96;16,56;30,37;6,96;0,95;10,51;;-1,54;;10,27;4,96;6,95;0,48;0,49;0,15;14,40;30,02;;41,90;4,30;;11.336.500.731,00
LTC;33,69;6,77;11,81;1,66;0,78;88,59;118,03;91,09;7,24;14,96;5,85;1,07;10,76;;-0,78;;14,08;6,57;8,80;0,47;0,53;0,07;-5,26;2,83;;20,26;2,85;;1.394.637.978,00
MAA;145,57;3,74;25,78;2,75;1,50;82,57;39,96;31,79;12,28;25,62;5,12;0,69;8,19;;-1,50;;10,66;5,80;7,79;0,54;0,45;0,18;5,73;14,19;;53,00;5,65;;16.982.152.529,00
MAC;12,59;5,24;-30,91;0,98;0,34;58,36;15,87;-10,21;5,94;49,78;29,89;1,47;3,16;;-0,34;;-3,16;-1,11;1,89;0,35;0,65;0,11;-2,87;;;12,91;-0,41;;2.708.048.568,00
