TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SOHON;23,69;2,18;16,99;8,72;1,12;27,98;32,67;16,15;8,40;6,16;5,45;5,66;2,74;;-1,12;;51,34;6,60;14,32;0,13;0,87;0,41;1,49;136,15;;2,72;1,39;;38.279.242,00
SOHOO;24,00;2,05;17,21;8,83;1,14;27,98;32,67;16,15;8,51;6,16;5,45;5,66;2,78;;-1,14;;51,34;6,60;14,32;0,13;0,87;0,41;1,49;136,15;;2,72;1,39;;38.279.242,00
SPG;103,51;6,81;15,84;10,78;1,03;81,08;47,35;40,37;13,51;23,22;9,71;7,75;6,40;;-1,03;;68,06;6,47;8,92;0,10;0,90;0,16;-0,87;1,89;;9,60;6,53;;33.840.679.565,00
SQFT;1,07;13,74;-4,60;0,29;0,05;67,04;30,11;-16,14;2,47;16,70;14,24;1,68;0,74;;-0,05;;-6,31;-0,99;3,60;0,16;0,40;0,06;-9,94;;;3,68;-0,23;;13.089.417,00
SRC;38,19;6,81;19,61;1,18;0,64;100,00;57,09;38,88;13,36;22,18;8,83;0,78;7,62;;-0,64;;6,03;3,25;4,95;0,54;0,46;0,08;10,59;29,92;;32,28;1,95;;5.396.415.036,00
STAG;32,72;4,47;32,95;1,73;0,95;80,88;39,59;27,09;22,55;32,20;9,66;0,74;8,93;;-0,95;;5,26;2,88;4,39;0,55;0,45;0,11;16,90;41,66;;18,87;0,99;;5.867.644.880,00
STAR;7,25;33,70;1,54;0,45;0,19;56,18;-68,15;282,90;-6,38;-8,82;-2,44;0,17;4,35;;-0,19;;29,08;12,59;-3,21;0,43;0,57;0,04;-24,05;19,12;;16,22;4,72;;629.561.000,00
STOR;32,22;3,66;28,36;1,70;0,87;100,00;61,20;38,95;18,05;27,57;9,52;0,90;11,05;;-0,87;;6,01;3,06;4,94;0,51;0,49;0,08;15,41;16,82;;18,91;1,14;;9.108.136.476,00
STWD;16,85;11,39;6,01;0,81;0,07;-10,23;990,77;481,11;2,92;4,08;1,16;0,32;28,90;;-0,07;;13,49;1,10;19,42;0,08;0,91;0,00;-10,38;16,81;;20,80;2,81;;5.234.440.705,00
SUI;133,36;2,64;68,39;2,12;0,97;48,23;17,31;8,25;32,57;47,25;14,68;0,96;5,64;;-0,97;;3,10;1,42;3,27;0,46;0,53;0,17;24,46;30,06;;62,93;1,95;;16.549.869.312,00
SVC;9,14;4,60;-11,43;1,09;0,20;34,12;11,12;-7,11;7,30;33,58;26,28;3,92;0,81;;-0,20;;-9,53;-1,77;2,94;0,19;0,81;0,25;-3,02;;;8,39;-0,80;;1.512.668.172,00
TCI;42,49;;0,92;0,48;0,32;47,17;113,16;1.252,05;10,14;8,22;-1,92;-0,09;11,47;;-0,32;;52,67;34,40;-5,67;0,65;0,35;0,03;-19,21;202,67;;88,03;46,37;;367.083.857,00
TRMT;5,22;;6,68;0,48;0,18;;;;3,88;3,13;-0,75;-0,09;;;-0,18;;7,23;2,63;12,33;0,36;0,64;0,00;;;;10,81;0,78;;43.390.206,00
TRNO;61,78;1,85;25,92;2,29;1,62;75,05;80,32;71,38;23,04;26,51;3,47;0,35;18,50;;-1,62;;8,84;6,23;7,33;0,70;0,30;0,09;15,83;30,12;;26,95;2,38;;5.110.997.620,00
TRTX;7,07;13,58;-8,17;0,41;0,10;100,00;3.552,79;-2.350,40;5,41;2,89;-2,51;-0,19;192,10;;-0,10;;-5,07;-1,21;7,62;0,24;0,76;0,00;10,92;;;17,08;-0,87;;547.290.821,00
