TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ATSA11;74,00;0,050000;0,47;81,57;0,91;440,89;1,83;1,98;-18,95;142.833.371,11;283,00;Passiva;1.751.141,00
HGRE11;108,35;0,780000;8,86;157,00;0,69;1.885.717,03;0,27;6,59;-8,98;1.855.428.726,66;139.049,00;Ativa;11.817.767,00
BTSI11;0,00;0,710000;0,00;104,29;;;0,03;;;195.024.485,24;91,00;Ativa;1.870.000,00
HGFF11;69,87;0,650000;11,00;84,13;0,83;630.826,42;1,33;3,63;-8,11;240.908.733,50;9.915,00;Ativa;2.863.597,00
HUSC11;98,99;0,850000;10,77;146,44;0,68;6.389,76;0,67;7,35;-8,69;116.361.286,88;756,00;Passiva;794.613,00
OUFF11;60,73;0,700000;14,21;72,64;0,84;150.859,00;1,05;5,16;-13,11;131.794.527,70;8.239,00;Ativa;1.814.336,00
BLMC11;74,30;0,870000;15,64;96,16;0,77;3.291,39;5,00;;;38.415.644,87;420,00;Ativa;399.500,00
RBRI11;999,89;35,620000;0,00;1.213,20;0,82;98.989,00;0,02;;;160.248.218,45;84,00;--;132.087,00
CXCO11;67,79;0,510000;13,47;99,40;0,68;160.180,73;1,43;;;390.084.283,30;13.321,00;Passiva;3.924.500,00
SEQR11;59,01;0,690400;13,38;93,53;0,64;112.159,03;2,49;;;150.446.499,47;4.909,00;Ativa;1.608.552,00
PLRI11;20,00;0,153959;10,82;32,39;0,62;2.081,79;1,23;-9,14;-22,80;30.905.371,98;786,00;Ativa;954.304,00
CFII11;0,00;;0,00;971,45;;;28,52;;;30.680.426,79;56,00;Ativa;31.582,00
SPMO11;99,00;0,430000;0,43;112,22;0,88;327,67;0,08;;;202.861.616,87;6,00;Ativa;1.807.730,00
VGHF11;9,00;0,100000;14,97;9,11;0,99;2.238.777,82;2,34;;;663.841.169,83;235.404,00;Ativa;72.889.247,00
SPAF11;0,00;5,974761;0,00;1.008,05;;;1,22;37,04;;11.360.754,46;1,00;Ativa;11.270,00
SADI11;88,98;1,070000;14,00;97,75;0,91;479.222,09;2,49;67,83;0,63;310.851.649,88;9.351,00;Ativa;3.180.207,00
GAME11;8,58;0,100000;16,36;9,86;0,87;92.224,94;0,52;;;213.869.218,74;19.902,00;Ativa;21.697.677,00
MORE11;60,55;0,600000;12,95;80,42;0,75;349.366,45;1,83;-1,05;;186.499.626,07;17.319,00;Ativa;2.319.115,00
RBRL11;69,55;0,580000;11,05;105,41;0,66;450.505,42;1,10;-0,32;;704.913.202,09;10.585,00;Ativa;6.687.035,00
VLJS11;1.141,14;28,819221;0,00;1.029,34;1,11;;5,48;;;26.833.536,85;9,00;Passiva;26.068,00
BLCA11;115,00;0,580000;5,62;141,53;0,81;24.558,83;4,10;;;226.442.408,04;144,00;Ativa;1.600.000,00
BCIA11;80,16;0,780000;11,02;96,92;0,84;376.779,58;0,10;2,47;-18,87;360.458.463,59;14.134,00;Ativa;3.719.038,00
TOUR11;8,80;0,242328;0,00;0,00;;;;;-56,55;0,00;0,00;Ativa;0,00
HSRE11;102,50;0,630000;7,10;96,33;1,06;333.173,65;2,38;;;820.548.299,96;183,00;Ativa;8.518.064,00
