TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MULT3;22,73;4,03;18,37;2,09;1,24;80,46;56,14;42,94;14,05;16,13;1,94;0,29;7,89;98,76;-1,49;1,08;11,37;6,77;10,04;0,60;0,40;0,16;3,03;18,98;126.477.988,33;10,89;1,24;0,20;13.805.484.907,50
MWET3;29,98;;2,41;-2,75;0,23;15,98;6,76;9,13;3,26;5,52;3,65;;0,22;35,42;-0,44;1,01;-114,11;9,65;38,73;-0,08;1,09;1,06;14,95;;2.998,50;-10,90;12,44;-0,03;35.521.131,78
MWET4;10,90;;0,88;-1,00;0,08;15,98;6,76;9,13;1,18;5,52;3,65;;0,08;12,88;-0,16;1,01;-114,11;9,65;38,73;-0,08;1,09;1,06;14,95;;45.618,57;-10,90;12,44;-0,01;35.521.131,78
MYPK3;13,80;13,25;4,15;0,52;0,14;11,24;8,02;3,10;1,60;5,07;3,46;1,12;0,13;0,72;-0,30;1,58;12,57;3,38;10,35;0,27;0,71;1,09;14,96;88,62;25.407.048,60;26,61;3,34;0,06;2.144.388.433,95
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;49,46;41,91;10,64;0,00;2,54;2,54;7,16;0,00;0,00;0,00;4,11;71,73;4,42;17,48;0,06;0,77;0,42;32,90;55,92;;40,28;28,89;0,00;0,00
NEMO5;52,97;4,71;1,83;1,32;0,08;49,46;41,91;10,64;0,47;2,54;2,54;7,16;0,20;0,38;-0,11;4,11;71,73;4,42;17,48;0,06;0,77;0,42;32,90;55,92;;40,28;28,89;0,04;0,00
NEMO6;0,00;;0,00;0,00;0,00;49,46;41,91;10,64;0,00;2,54;2,54;7,16;0,00;0,00;0,00;4,11;71,73;4,42;17,48;0,06;0,77;0,42;32,90;55,92;;40,28;28,89;0,00;0,00
NEOE3;15,38;5,18;4,24;0,70;0,20;28,89;20,82;10,23;2,08;6,03;3,95;1,33;0,43;3,63;-0,27;1,30;16,50;4,80;11,70;0,29;0,71;0,47;23,82;70,91;29.170.890,07;22,06;3,64;1,38;18.716.753.564,16
NEXP3;0,42;;-0,91;2,75;0,22;58,84;-58,70;-51,66;-0,80;-1,20;-0,40;1,38;0,47;-1,55;-0,31;0,68;-302,64;-24,05;-89,26;0,08;0,92;0,47;5,40;;194.147,43;0,15;-0,46;0,02;55.766.959,08
NGRD3;1,45;1,03;260,20;0,77;0,48;64,86;2,03;0,51;64,87;27,35;-36,62;-0,43;1,32;1,71;-0,91;2,48;0,29;0,19;-0,05;0,63;0,37;0,37;;;1.359.875,17;1,89;0,01;-2,78;341.287.131,90
NINJ3;2,67;;-6,09;0,49;0,45;90,79;-88,25;-37,60;-2,59;2,77;5,34;-1,00;2,29;0,51;-8,32;13,24;-7,97;-7,36;-18,62;0,92;0,08;0,20;;;676.879,60;5,53;-0,44;0,15;133.597.470,58
NORD3;5,97;;-4,92;-0,27;2,27;90,06;-22,47;-493,25;-108,01;-211,67;-103,66;;24,27;-0,85;-2,44;0,03;-5,40;-46,19;0,33;-8,56;9,56;0,09;;;4.686,23;-22,49;-1,21;-0,01;39.530.271,42
NRTQ3;0,00;;0,00;0,00;0,00;25,92;12,32;13,69;0,00;0,05;0,05;0,01;0,00;0,00;0,00;4,26;16,49;11,82;11,58;0,72;0,28;0,86;13,67;16,56;;17,07;2,81;0,00;0,00
NTCO3;13,21;0,99;-14,39;0,80;0,34;64,23;1,18;-3,39;41,34;62,21;20,46;0,39;0,49;5,42;-0,47;1,27;-5,54;-2,34;0,68;0,42;0,58;0,69;38,39;;227.019.731,97;16,62;-0,92;0,04;18.519.550.998,00
NUTR3;280,00;;4,34;1,28;0,36;16,08;9,40;4,95;2,28;3,10;0,81;0,46;0,21;1,01;-1,29;1,96;29,44;8,27;30,37;0,28;0,72;1,67;33,43;;43.200,00;219,23;64,53;0,04;37.084.320,00
ODER4;857,15;0,16;110,59;24,32;11,73;28,75;15,07;12,01;88,11;89,63;1,52;0,42;13,28;32,06;-41,03;2,05;21,99;10,61;12,69;0,48;0,52;0,88;11,24;14,60;;35,25;7,75;-2,84;9.674.742.907,90
ODPV3;8,32;3,51;10,67;3,93;2,23;61,42;29,78;23,72;8,50;7,89;-0,64;-0,30;2,53;-33,06;-3,18;0,82;36,85;20,89;30,67;0,57;0,43;0,88;6,18;15,52;26.585.765,37;2,12;0,78;0,59;4.758.058.771,11
OFSA3;25,15;2,14;11,11;1,99;1,05;49,50;15,64;12,34;8,77;10,22;1,50;0,34;1,37;2,35;-2,82;3,45;17,96;9,43;13,09;0,53;0,47;0,76;14,66;;275.402,93;12,60;2,26;0,85;1.348.725.150,00
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,17;;-0,40;-0,52;0,02;-3,45;-28,92;-25,35;-0,35;-5,84;-5,47;;0,10;0,32;-0,03;1,37;-128,78;-6,02;-30,36;-0,05;1,05;0,24;-16,61;;32.269.090,43;-0,35;-0,45;0,01;1.240.596.732,15
OIBR4;0,53;;-1,19;-1,53;0,07;-3,45;-28,92;-25,35;-1,04;-5,84;-5,47;;0,30;0,96;-0,10;1,37;-128,78;-6,02;-30,36;-0,05;1,05;0,24;-16,61;;782.942,17;-0,35;-0,45;0,03;1.240.596.732,15
OMGE3;27,57;;11,48;1,35;0,44;30,38;56,77;21,25;4,30;8,04;3,75;1,18;2,44;10,85;-0,53;1,31;11,81;3,84;11,17;0,33;0,67;0,18;55,45;118,18;49.236.324,19;20,35;2,40;-0,03;5.521.562.588,85
ONCO3;7,18;;-378,25;1,80;0,50;34,77;9,69;-0,26;10,25;17,15;6,78;1,19;0,99;5,87;-0,70;1,42;-0,47;-0,13;5,16;0,28;0,65;0,50;;;7.007.531,73;4,04;-0,02;3,97;3.656.680.226,78
OPCT3;2,75;;-4,71;0,74;0,25;14,07;0,61;-10,40;79,94;231,84;153,05;1,42;0,49;-4,79;-0,31;0,80;-15,70;-5,26;0,36;0,34;0,66;0,51;;;1.626.957,47;3,76;-0,59;-0,02;547.889.177,96
ORVR3;41,70;;-47,65;6,91;1,82;35,76;18,62;-10,48;26,84;31,86;5,03;1,30;5,00;29,15;-2,33;1,40;-14,51;-3,82;5,02;0,26;0,73;0,36;;;16.117.741,67;6,09;-0,88;10,79;3.008.718.737,60
OSXB3;6,52;;-0,03;0,00;0,01;90,65;-61,67;-1.708,40;-0,95;-233,67;-232,72;;0,59;-0,03;-0,01;0,03;-10,52;-26,73;3,25;-2,54;3,55;0,02;89,07;;78.612,20;-1.800,97;-189,44;0,00;20.493.727,38
PARD3;21,77;2,69;16,72;3,03;1,27;27,49;14,88;8,28;9,30;9,83;0,57;0,19;1,38;63,02;-1,77;1,08;18,15;7,60;21,69;0,42;0,58;0,92;17,16;10,74;15.751.112,47;7,20;1,31;-0,80;2.851.404.013,15
