TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VITL;13,94;;455,51;3,60;2,65;30,23;0,81;0,35;193,49;169,54;-23,81;-0,44;1,57;5,59;-8,76;3,14;0,79;0,58;0,81;0,74;0,26;1,69;;;;3,89;0,03;;569.431.962,00
VIV;7,43;6,67;15,03;0,90;0,51;62,39;13,82;9,15;9,95;11,36;1,41;0,13;1,37;-7,83;-0,60;0,70;5,96;3,38;6,64;0,57;0,43;0,37;7,49;-14,65;;8,32;0,50;;12.393.497.415,00
VIVE;0,22;;-0,10;1,99;0,19;16,39;-311,05;-336,79;-0,11;-0,10;0,01;-0,24;0,35;-1,91;-0,93;0,89;-1.941,64;-189,15;-311,69;0,10;0,90;0,56;-2,09;;;0,11;-2,14;;2.359.258,00
VIVO;33,97;;35,07;4,05;3,21;56,56;16,67;12,75;26,82;25,81;-1,02;-0,15;4,47;9,75;-5,90;3,63;11,54;9,17;11,10;0,79;0,21;0,72;10,65;14,52;;8,40;0,97;;1.488.830.366,00
VJET;2,05;;-7,67;0,57;0,25;33,91;-19,09;-7,20;-2,89;-1,71;1,18;-0,23;0,55;1,05;-0,64;1,63;-7,40;-3,23;-13,97;0,44;0,56;0,45;3,68;;;3,61;-0,27;;17.026.890,00
VKTX;11,54;;-13,32;6,31;5,44;;;;-13,32;-10,81;2,26;-1,07;;6,32;-616,18;7,61;-47,39;-40,86;-47,39;0,86;0,14;0,00;;;;1,85;-0,88;;900.244.380,00
VKTXW;4,60;;-5,24;2,48;2,14;;;;-5,24;-10,81;2,26;-1,07;;2,49;-242,26;7,61;-47,39;-40,86;-47,39;0,86;0,14;0,00;;;;1,85;-0,88;;900.244.380,00
VLDR;1,26;;-1,74;1,39;1,05;-54,75;-383,57;-384,34;-1,74;-0,46;1,28;-1,02;6,67;1,49;-7,48;5,51;-80,01;-60,32;-80,01;0,75;0,25;0,16;;;;0,91;-0,73;;299.363.904,00
VLDRW;0,32;;-0,44;0,35;0,27;-54,75;-383,57;-384,34;-0,44;-0,46;1,28;-1,02;1,69;0,38;-1,90;5,51;-80,01;-60,32;-80,01;0,75;0,25;0,16;;;;0,91;-0,73;;299.363.904,00
VLGEA;22,67;4,40;10,07;0,84;0,35;28,11;2,45;1,55;6,37;6,07;-0,31;-0,04;0,16;9,63;-0,44;1,21;8,37;3,46;7,36;0,41;0,59;2,23;5,13;3,20;;26,98;2,26;;330.592.472,00
